function, code1, hexcode1, code2, hexcode2

"3D","sendir,1:1,1,40000,1,1,96,23,47,23,23,23,47,23,47,23,23,23,23,23,47,23,23,23,47,23,23,23,47,23,47,23,23,23,47,23,23,23,23,23,23,23,47,23,47,23,47,489 ","0000 0067 0000 0015 0060 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 0017 0017 002F 0017 0017 0017 002F 0017 0017 0017 002F 0017 002F 0017 0017 0017 002F 0017 0017 0017 0017 0017 0017 0017 002F 0017 002F 0017 002F 01E9",,

"ANGLE","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,48,23,23,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"AUDIO","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,48,23,23,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"CLEAR","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,48,23,48,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"CURSOR DOWN","sendir,1:1,1,39000,1,1,95,23,23,23,48,23,23,23,48,23,48,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"CURSOR ENTER","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,48,23,48,23,48,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,467 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0030 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01d3",,

"CURSOR LEFT","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,48,24,48,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,473 ","0000 0067 0000 0015 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0030 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 01d9",,

"CURSOR RIGHT","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,48,23,48,23,48,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"CURSOR UP","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,48,23,48,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"DIGIT 0","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,48,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,

"DIGIT 1","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,579 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0243",,

"DIGIT 2","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,557 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 022d",,

"DIGIT 3","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,24,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,563 ","0000 0067 0000 0015 0060 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0233",,

"DIGIT 4","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,23,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,

"DIGIT 5","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,48,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,557 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 022d",,

"DIGIT 6","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,48,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,

"DIGIT 7","sendir,1:1,1,40000,1,1,96,24,24,24,48,24,48,24,24,24,24,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,540 ","0000 0067 0000 0015 0060 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 021c",,

"DIGIT 8","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,48,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"DIGIT 9","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,23,23,48,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,557 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 022d",,

"DIMMER","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,23,23,48,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"DISPLAY","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,23,23,23,23,23,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,534 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0216",,

